,,,,,,,,,,,,,,,,
,CAMPANAS,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,
,,,,,,,,,,,,,,,,
,BEKO,,,,,,,,,,,,,,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
,,,,,,,,,,,,,,  -   € ,,
